floor,eggs_1,eggs_2,eggs_4,eggs_6
40,2.4160000000050808,200.54099999999852,592.0839999999928,954.7910000000659
41,2.41700000003231,210.87499999999926,602.3749999999883,1014.8749999999707
42,2.3749999999989058,217.54099999998778,800.7500000000167,1046.2079999999928
43,2.457999999982974,230.2499999999874,676.333000000029,1100.2500000000248
44,2.583000000000446,239.24999999996865,701.7920000000344,1131.3330000000121
45,2.459000000010203,251.70900000004437,739.5000000000041,1177.7499999999775
46,2.583999999972164,261.0000000000112,776.7080000000149,1234.6249999999336
47,2.583999999972164,271.62499999999756,790.7910000000129,1306.6250000000057
48,2.6250000000338503,280.9169999999916,825.1670000000155,1353.37499999999
49,2.665999999984514,293.9589999999548,852.7919999999912,1405.4999999999484
50,2.7089999999896364,304.2919999999838,921.2080000000067,1456.459000000021
51,2.7089999999896364,312.45800000001543,938.2089999999677,1521.5410000000152
52,2.7910000000019863,330.50000000001137,961.5410000000102,1594.9590000000624
53,2.9169999999911767,341.70900000002337,992.2079999999944,1643.2080000000626
54,2.7910000000019863,406.332999999981,1020.2080000000225,1680.4169999999897
55,2.8750000000132836,383.25000000000165,1049.2919999999795,1736.8329999999378
56,2.8750000000132836,379.12499999998016,1084.9589999999964,1808.7499999999145
57,2.917000000046688,388.7090000000426,1122.9999999999852,1857.458000000034
58,2.9579999999973516,399.29199999999554,1168.4170000000327,1916.2500000000637
59,3.000000000030756,412.6670000000332,1201.3339999999982,1982.666999999938
60,3.042000000008649,423.54199999999895,1247.4580000000346,2055.3750000000814
61,3.084000000042053,441.54100000004524,1272.749999999989,2118.7080000000246
62,3.207999999976785,458.1670000000093,1325.3340000000114,2181.7499999999823
63,3.16699999997061,467.62500000002706,1361.2500000000362,2267.915999999981
64,3.3749999999721503,552.5000000000114,1424.0420000000142,2337.6660000000716
65,3.2920000000435934,533.6670000000154,1452.999999999982,2409.0839999999503
66,3.250000000010189,506.7920000000337,1488.6250000000211,2464.7500000000155
67,3.4170000000055545,519.7499999999854,1526.791999999999,2554.582999999999
68,3.3749999999721503,529.9169999999908,1578.875000000035,2608.166000000023
69,3.3749999999721503,543.1659999999838,1627.2500000000246,2669.041999999955
70,3.4999999999896225,559.9589999999988,1660.7909999999947,2766.7080000000065
71,3.5829999999736906,579.0410000000023,1704.959000000006,2826.8750000000064
72,3.4999999999896225,605.0000000000222,1750.4580000000103,2918.0420000000095
73,3.5829999999736906,602.7920000000187,1803.749999999993,2992.291999999952
74,3.5830000000292017,629.2499999999701,1857.3749999999945,3057.3749999999177
75,3.708999999962881,632.7080000000374,1891.7920000000033,3145.4159999999565
76,3.6249999999515836,654.7920000000152,1949.582999999977,3233.208000000043
77,3.707999999991163,669.749999999969,1996.6250000000296,3289.9589999999534
78,3.749999999969056,684.9160000000354,2045.7919999999908,3389.6250000000628
79,3.8340000000358643,705.4160000000143,2097.9999999999886,3458.4170000000468
80,4.0830000000435795,723.0409999999798,2150.333999999976,3532.625000000067
81,3.874999999986528,743.2909999999792,2201.8329999999864,3625.5830000000433
82,3.916999999964421,758.4170000000112,2250.917000000019,3725.124999999996
83,3.957999999970596,773.1249999999857,2306.16699999997,3825.8749999999786
84,4.000000000004,795.1250000000076,2363.2080000000055,3909.833000000029
85,4.041000000010175,808.5829999999738,2416.042000000007,3986.58399999996
86,4.000000000004,825.4590000000284,2476.62500000001,4078.333000000045
87,4.082999999988068,842.290999999995,2536.417000000013,4175.749999999923
88,4.249999999983434,862.4580000000104,2585.8749999999595,4266.458000000029
89,4.125000000021473,885.5410000000452,2642.000000000033,4361.583999999974
90,4.208000000005541,928.0409999999906,2712.333000000011,4479.000000000011
91,4.249999999983434,937.582999999964,2818.5000000000014,4556.208000000006
92,4.375000000000906,938.6670000000041,2829.459000000034,4661.666999999925
93,4.375000000000906,964.2089999999937,2868.5410000000024,4754.250000000071
94,4.332999999967502,976.2079999999785,2933.2090000000476,4851.875000000061
95,4.416999999978799,998.6659999999814,2987.7079999999223,4926.292000000054
96,4.290999999989609,1021.9589999999612,3025.1660000000234,4992.166000000076
97,4.624999999980339,1039.874999999968,3082.125000000047,5089.416999999985
98,4.375000000000906,1062.0829999999914,3157.0000000000764,5200.125
99,4.416999999978799,1082.5830000000258,3207.458999999968,5318.9170000000895
